City_ID,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,-20.3297,-40.2925,82.35,79,0,13.8,BR,1675974057
1,42.6001,-73.9662,44.73,84,100,4.0,US,1675973727
2,65.282,-126.8329,-9.36,70,20,5.75,CA,1675974059
3,43.1458,21.2686,26.65,68,13,1.59,RS,1675974061
4,43.2128,-75.4557,42.87,93,100,11.5,US,1675974061
5,-27.6146,-48.5012,78.03,83,40,4.61,BR,1675974061
6,29.0605,-13.564,59.22,63,20,4.61,ES,1675974063
7,55.756,-4.8556,45.18,85,100,4.0,GB,1675974064
8,-33.9258,18.4232,75.9,71,0,12.66,ZA,1675973650
9,-45.8742,170.5036,53.31,62,98,2.17,NZ,1675973592
10,55.7435,-97.8558,1.56,66,0,4.61,CA,1675973716
11,-23.1203,-134.9692,80.06,74,66,20.11,PF,1675973744
12,14.8961,-24.4956,68.67,82,99,10.31,CV,1675973998
13,-34.0527,23.3716,68.81,91,13,10.69,ZA,1675974065
14,-39.2,173.8833,57.69,65,28,4.56,NZ,1675974065
15,34.6391,-120.4579,78.01,24,0,6.91,US,1675973810
16,-8.8368,13.2343,80.6,74,20,9.22,AO,1675974066
17,22.0752,-159.319,78.78,86,75,25.32,US,1675974067
18,65.5833,-171.0,-18.74,95,94,3.94,RU,1675974067
19,3.0707,172.7902,80.51,83,89,19.39,KI,1675973747
20,47.6167,-57.6152,18.73,71,57,23.87,CA,1675974068
21,39.1834,-84.5333,70.43,45,0,34.52,US,1675973726
22,77.484,-69.3632,-9.9,58,28,9.13,GL,1675973832
23,-46.6,168.3333,46.8,71,75,9.53,NZ,1675973614
24,57.79,-152.4072,29.71,43,0,4.61,US,1675973902
25,71.9167,114.0833,-46.48,98,57,6.76,RU,1675974069
26,31.6682,20.2521,54.54,52,0,11.61,LY,1675974069
27,-30.1811,-50.2056,79.0,74,45,11.59,BR,1675974070
28,-34.5322,20.0403,69.64,81,15,14.03,ZA,1675974071
29,-0.7193,8.7815,82.36,89,40,3.44,GA,1675974072
30,65.8167,87.9833,-2.87,96,100,11.36,RU,1675974072
31,42.097,-79.2353,55.02,83,100,8.05,US,1675973745
32,-9.8,-139.0333,78.98,77,15,21.23,PF,1675973745
33,35.7333,140.8333,36.21,58,100,13.09,JP,1675974073
34,-33.918,25.5701,72.1,88,20,0.0,ZA,1675974073
35,-3.7508,103.6372,70.47,82,50,1.77,ID,1675974074
36,64.5011,-165.4064,-2.13,78,100,0.0,US,1675974074
37,47.4235,-120.3103,46.78,70,100,1.01,US,1675973988
38,-0.3167,102.35,72.88,98,98,2.21,ID,1675974075
39,70.6333,147.9167,-24.18,98,100,5.61,RU,1675973737
40,13.2167,-59.5167,81.21,69,75,19.57,BB,1675973999
41,-13.8483,136.4192,82.02,80,100,10.42,AU,1675974076
42,58.6978,81.4825,4.17,93,100,7.56,RU,1675974077
43,-42.8794,147.3294,58.26,96,75,0.0,AU,1675973827
44,36.6777,-121.6555,71.8,46,0,12.66,US,1675973848
45,-0.7393,-90.3518,84.16,87,74,11.01,EC,1675973829
46,41.5072,20.0851,31.15,54,100,6.87,AL,1675974138
47,67.4667,78.7,-7.17,98,41,10.04,RU,1675974067
48,-9.4333,159.95,78.58,89,100,5.06,SB,1675974139
49,62.456,-114.3525,-3.44,84,75,6.91,CA,1675973702
50,47.6666,-52.7314,26.38,85,75,10.36,CA,1675973869
51,12.5898,6.5779,77.22,11,68,9.28,NG,1675974140
52,45.0205,-93.218,38.41,74,100,19.57,US,1675974140
53,-24.7911,-50.0119,81.81,51,12,2.17,BR,1675973739
54,-9.0122,-35.2225,81.28,74,96,9.51,BR,1675973752
55,-46.1927,168.8643,46.47,65,62,1.83,NZ,1675973814
56,62.6667,135.6,-54.31,100,72,2.28,RU,1675974142
57,-10.6167,150.6667,79.68,89,100,14.79,PG,1675974142
58,-28.7667,114.6,72.01,83,78,10.36,AU,1675973987
59,-53.15,-70.9167,60.82,47,0,3.44,CL,1675973681
60,-42.7826,147.0587,57.92,84,100,1.41,AU,1675973834
61,73.5069,80.5464,1.4,89,100,28.07,RU,1675973747
62,10.0644,-72.545,89.31,48,99,13.89,VE,1675974143
63,63.8424,-22.4338,30.67,80,75,16.11,IS,1675974144
64,-12.974,40.5178,79.5,94,75,9.22,MZ,1675974144
65,14.3,-91.9167,93.74,61,0,11.74,GT,1675974085
66,-21.2,-175.2,82.56,83,75,2.3,TO,1675973738
67,70.0167,135.6,-51.83,99,92,5.37,RU,1675974145
68,-54.8,-68.3,62.26,31,20,17.27,AR,1675973741
69,17.4189,121.4443,65.68,86,78,3.15,PH,1675974086
70,25.8523,88.3618,61.0,52,0,2.21,BD,1675974146
71,41.0982,120.7479,24.73,92,20,4.56,CN,1675974147
72,-2.5744,150.7967,81.1,76,100,2.46,PG,1675974148
73,41.8677,-8.3978,53.22,72,2,4.43,PT,1675974148
74,-22.9661,-42.0278,82.26,69,0,11.5,BR,1675973989
75,20.5022,-10.0711,72.63,31,98,14.58,MR,1675974148
76,-38.2667,141.9667,57.7,96,2,6.6,AU,1675974149
77,19.7297,-155.09,75.27,87,75,8.05,US,1675973532
78,55.568,28.1971,23.54,83,77,12.41,BY,1675974150
79,-24.8667,113.6333,77.7,77,94,19.66,AU,1675973821
80,51.3223,42.7678,15.66,97,100,4.07,RU,1675974151
81,-34.4187,19.2345,70.81,82,4,12.77,ZA,1675973732
82,-20.4081,57.7,79.25,78,40,8.05,MU,1675973741
83,28.017,-97.5169,74.16,33,15,5.37,US,1675973916
84,-12.0667,134.2667,76.64,92,100,4.68,AU,1675974152
85,69.4541,-133.0374,-14.8,76,100,10.36,CA,1675974153
86,-11.3847,43.2844,81.36,80,45,9.33,KM,1675974153
87,-33.5906,26.891,68.18,96,100,6.64,ZA,1675973994
88,62.55,155.55,-37.75,100,60,4.63,RU,1675974153
89,20.7,-105.2,74.43,64,20,9.22,MX,1675974154
90,10.4635,-64.1775,78.75,74,84,16.15,VE,1675974154
91,22.6783,-3.9836,73.74,12,85,13.91,ML,1675974215
92,-33.0153,27.9116,69.84,83,100,4.03,ZA,1675973997
93,38.5167,-28.7,59.4,63,75,17.27,PT,1675974007
94,32.7858,119.4278,40.33,93,100,7.72,CN,1675974216
95,-33.65,115.3333,59.34,88,0,8.66,AU,1675974216
96,-8.9266,125.4092,60.22,95,100,2.55,TL,1675974217
97,-2.0226,147.2712,78.51,90,100,15.19,PG,1675974168
98,71.2906,-156.7887,-20.18,76,100,8.05,US,1675973832
99,-20.3667,14.9667,70.83,54,7,15.68,NA,1675973909
100,-2.0833,101.3833,63.01,96,90,1.43,ID,1675974218
101,-21.2078,-159.775,82.45,74,75,10.36,CK,1675973746
102,66.1451,-65.7125,-31.0,68,0,2.3,CA,1675973750
103,51.3813,1.3862,40.69,92,72,7.61,GB,1675974017
104,59.7035,30.7861,30.09,85,100,11.83,RU,1675974009
105,3.1667,113.0333,77.41,94,40,2.3,MY,1675974220
106,-38.0023,-57.5575,75.22,78,40,10.36,AR,1675973875
107,41.3581,-93.5574,37.26,79,100,11.01,US,1675974222
108,60.9167,-46.05,19.62,93,100,3.85,GL,1675974222
109,-21.3585,55.7679,78.39,82,70,14.14,RE,1675974223
110,-9.4467,124.4781,70.03,92,97,2.64,ID,1675974223
111,30.5335,-92.0815,67.87,39,0,4.61,US,1675974223
112,53.8251,-101.2541,12.22,57,0,6.91,CA,1675974224
113,8.7842,117.4231,76.82,82,8,1.43,PH,1675974224
114,29.5958,-90.7195,66.2,55,100,11.5,US,1675974087
115,-20.7377,116.8463,85.06,71,12,11.95,AU,1675974225
116,-31.3653,-51.9783,81.99,55,52,9.33,BR,1675974225
117,64.3833,-173.3,-16.89,98,99,3.96,RU,1675973914
118,-8.0089,-34.8553,76.73,88,75,4.61,BR,1675974050
119,51.226,-58.6502,7.97,76,97,13.18,CA,1675974226
120,59.2353,163.0719,6.93,91,100,21.61,RU,1675974226
121,60.4667,166.1,-12.93,89,100,14.61,RU,1675974015
122,-33.0117,17.9442,65.21,91,4,12.3,ZA,1675973823
123,41.9563,42.9566,31.57,94,100,0.38,GE,1675974227
124,22.2855,114.1577,69.94,90,57,5.99,HK,1675973538
125,-12.28,43.7425,82.35,78,10,12.95,KM,1675974227
126,-45.4167,167.7167,47.71,77,27,0.87,NZ,1675974171
127,26.2039,83.9717,55.4,60,0,3.02,IN,1675974228
128,42.2506,-75.833,49.66,77,100,10.36,US,1675974092
129,39.6367,141.9525,24.69,63,99,3.0,JP,1675974202
130,46.4856,135.8833,-6.77,91,100,3.56,RU,1675974229
131,-15.4333,49.7333,74.8,89,21,4.29,MG,1675974229
132,35.1333,140.3,46.2,66,100,12.48,JP,1675974103
133,55.1001,-105.2842,21.45,49,20,3.44,CA,1675974096
134,7.5264,-12.505,77.85,82,63,4.09,SL,1675974230
135,68.3499,-133.7218,-13.94,84,100,8.05,CA,1675974290
136,48.2522,17.2154,31.14,72,0,5.75,SK,1675974290
137,21.4612,-71.1419,77.05,77,0,23.15,TC,1675973737
138,-20.5167,57.5167,79.18,78,40,8.05,MU,1675973742
139,-34.2,142.15,74.39,25,57,11.54,AU,1675974081
140,40.5982,-124.1573,57.92,80,0,8.05,US,1675974292
141,10.4396,45.0143,77.13,73,11,2.33,SO,1675974292
142,-41.8697,-73.8203,63.57,79,66,10.63,CL,1675974180
143,36.4337,-99.3904,52.83,44,40,25.32,US,1675974293
144,5.4112,100.3354,80.53,89,20,0.0,MY,1675973814
145,4.9333,-52.3333,80.64,83,75,9.22,GF,1675974294
146,-0.9492,100.3543,76.64,86,100,2.95,ID,1675973690
147,43.7501,-81.7165,41.92,100,100,8.05,CA,1675974294
148,11.2985,2.4386,83.28,10,15,5.75,BJ,1675974295
149,71.6872,128.8694,-39.69,99,97,4.76,RU,1675973748
150,6.2679,21.2247,80.78,14,9,5.14,CF,1675974295
151,63.7506,-68.5145,-23.31,67,40,13.8,CA,1675973817
152,69.7008,170.3133,-20.72,93,100,4.7,RU,1675974248
153,68.2191,-135.0107,-20.2,76,75,8.05,CA,1675974296
154,-0.1303,-67.0892,85.23,71,63,1.68,BR,1675973833
155,-10.7073,22.2247,64.09,95,100,1.86,AO,1675974297
156,37.1041,-113.5841,53.44,18,0,6.91,US,1675973755
157,-4.8828,-66.8958,81.07,88,71,2.8,BR,1675974297
158,26.5921,12.7805,53.64,36,52,8.43,LY,1675974298
159,46.4154,3.9054,30.96,82,0,3.44,FR,1675974298
160,40.81,114.8794,16.47,92,34,2.53,CN,1675974298
161,60.7522,-137.5108,10.35,85,100,0.0,CA,1675974101
162,18.7333,-103.6833,88.54,42,9,7.61,MX,1675974299
163,41.1415,-73.3579,51.57,78,100,5.99,US,1675974297
164,6.9833,35.5833,68.23,42,11,1.59,ET,1675974299
165,60.4167,134.5333,-53.88,100,76,1.5,RU,1675974300
166,35.8567,8.4765,40.55,80,98,9.98,TN,1675974300
167,38.421,-121.4238,64.35,63,40,4.61,US,1675973879
168,68.0531,39.5131,33.17,84,100,31.63,RU,1675973921
169,44.7931,45.2097,2.64,98,34,3.02,RU,1675974301
170,-33.6971,-53.4616,81.01,54,1,11.79,UY,1675973922
171,6.3005,-10.7969,80.37,86,100,6.29,LR,1675974301
172,56.0209,29.9284,21.81,89,27,9.1,RU,1675974302
173,-26.6481,15.1594,64.36,92,13,9.64,NA,1675974172
174,31.5604,-91.4032,68.25,38,0,6.91,US,1675974303
175,-9.5402,16.341,65.61,72,42,4.38,AO,1675974304
176,65.6145,-37.6368,17.76,68,100,8.63,GL,1675973826
177,39.5501,-77.0164,64.72,61,0,16.11,US,1675974305
178,-20.0167,148.2333,74.37,80,49,4.12,AU,1675974306
179,68.5646,14.9108,31.98,69,75,11.5,NO,1675974120
180,-10.4544,161.9205,79.83,85,100,4.63,SB,1675974306
181,42.6265,41.7381,38.71,93,100,3.27,GE,1675974367
182,46.4208,6.2701,36.27,81,46,1.63,CH,1675974367
183,-25.1667,45.05,76.68,78,87,6.96,MG,1675974368
184,12.1791,125.5072,78.53,85,96,16.37,PH,1675974340
185,36.6177,-121.9166,70.41,50,0,6.91,US,1675974368
186,33.194,-82.5271,74.71,61,100,13.78,US,1675973900
187,50.1001,-91.917,23.07,80,100,14.97,CA,1675974235
188,30.6945,78.4932,44.44,74,100,5.68,IN,1675974369
189,35.2442,129.2139,37.13,92,100,7.78,KR,1675974369
190,62.55,149.6667,-38.38,98,94,3.06,RU,1675974370
191,-9.1061,124.8925,73.58,91,98,2.98,ID,1675974371
192,72.7868,-56.1549,-28.03,96,95,6.13,GL,1675974002
193,46.4333,26.4,13.12,85,4,5.57,RO,1675973991
194,7.6176,-71.4916,86.94,51,98,1.25,VE,1675974371
195,13.0667,-59.5333,78.89,78,40,20.71,BB,1675974372
196,71.9667,102.5,-47.31,99,40,3.71,RU,1675973825
197,13.2154,18.3353,75.15,9,57,10.07,TD,1675974373
198,-24.1128,-49.4636,81.75,61,30,3.56,BR,1675974374
199,38.7333,-27.0667,57.45,77,40,12.53,PT,1675974375
200,24.7897,-104.0369,72.12,7,74,5.99,MX,1675974376
201,54.675,20.1347,32.05,67,100,20.98,RU,1675974377
202,21.3469,-158.0858,76.44,66,100,19.57,US,1675974090
203,10.7,-14.3667,75.58,60,6,6.11,GN,1675974377
204,17.6,-92.8167,85.89,76,84,5.1,MX,1675974378
205,-25.0519,33.6442,76.62,93,100,6.29,MZ,1675974379
206,61.9875,5.1352,36.27,65,100,37.56,NO,1675974380
207,42.207,-71.6856,46.0,55,100,4.61,US,1675974380
208,45.3167,55.2,21.29,78,100,9.69,KZ,1675974381
209,28.4333,74.4833,67.03,29,2,4.43,IN,1675974382
210,-45.5752,-72.0662,66.81,42,40,14.97,CL,1675974382
211,-10.8764,26.5969,59.04,92,66,3.85,CD,1675974383
212,-3.3783,-68.8725,82.45,82,76,1.14,BR,1675974384
213,20.8947,-156.47,76.84,68,40,19.57,US,1675974333
214,47.9714,80.4392,9.88,95,100,10.36,KZ,1675974387
215,37.2711,-87.1764,49.98,73,100,12.66,US,1675974388
216,-34.5833,150.8552,64.18,92,2,4.0,AU,1675974388
217,42.7762,-9.0603,50.85,62,0,11.14,ES,1675974389
218,69.4058,86.1778,-9.38,94,95,14.61,RU,1675973970
219,66.4167,112.4,-28.55,66,100,4.16,RU,1675974277
220,-26.5333,153.1,71.33,84,42,13.35,AU,1675974389
221,43.7,26.2667,14.77,89,5,3.69,BG,1675974390
222,29.1614,16.139,56.05,56,15,13.4,LY,1675974391
223,19.2833,-81.25,86.0,70,40,14.97,KY,1675974392
224,44.1003,-70.2148,40.39,83,100,5.3,US,1675974376
225,41.2835,-70.0995,44.74,81,75,13.8,US,1675973809
226,18.3851,42.4509,59.11,61,29,2.93,SA,1675973908
227,-3.432,10.6554,79.56,87,88,6.8,GA,1675974393
228,29.9576,122.298,46.81,93,98,22.03,CN,1675974454
229,63.05,179.3167,-30.14,95,31,6.62,RU,1675974407
230,-5.3582,104.9744,72.45,89,95,2.98,ID,1675974455
231,65.7,82.4667,-5.8,99,79,8.7,RU,1675974456
232,-27.4831,-50.1219,75.13,58,90,1.39,BR,1675974456
233,16.1833,-22.9167,68.4,78,88,12.08,CV,1675974456
234,-7.4706,-34.8086,82.99,73,54,12.5,BR,1675974457
235,61.994,-49.6678,25.92,90,100,5.19,GL,1675974457
236,68.75,161.3,-44.77,100,99,5.41,RU,1675974458
237,5.5577,95.3222,78.3,82,100,3.85,ID,1675974458
238,-14.8796,47.9875,74.19,95,100,3.09,MG,1675974459
239,-2.5333,112.95,73.67,97,67,2.42,ID,1675974459
240,34.4133,-119.861,79.25,34,0,5.75,US,1675974460
241,18.425,-65.8329,82.44,65,40,19.57,PR,1675974460
242,28.4543,104.715,53.08,75,100,2.06,CN,1675974460
243,-2.5833,115.3833,72.99,98,93,1.74,ID,1675974461
244,35.405,116.5814,39.56,87,100,3.89,CN,1675974461
245,39.1672,8.5222,43.45,82,57,6.04,IT,1675974462
246,-7.05,113.9333,78.49,85,100,8.01,ID,1675974462
247,21.2833,-88.2667,90.16,38,50,13.47,MX,1675974462
248,62.2266,-6.589,34.72,49,100,11.14,FO,1675974165
249,-32.035,-52.0986,91.51,57,0,11.9,BR,1675974463
250,32.6667,-17.1,57.83,69,10,6.78,PT,1675974013
251,20.1986,1.0114,75.9,12,0,11.3,ML,1675974463
252,18.4167,84.05,69.44,85,3,3.76,IN,1675974464
253,7.0419,134.2556,82.18,75,99,14.99,PW,1675974464
254,45.5234,-122.6762,56.8,59,40,16.11,US,1675973802
255,17.0151,54.0924,73.49,88,0,4.61,OM,1675974465
256,64.5667,143.2,-46.77,95,41,1.36,RU,1675974465
257,31.2656,56.8055,44.47,43,0,3.51,IR,1675974466
258,13.6017,26.6876,66.54,13,15,11.3,SD,1675974466
259,10.6667,122.95,75.67,87,51,9.51,PH,1675974467
260,21.0167,-102.1667,73.81,21,22,9.95,MX,1675974467
261,-20.3428,57.7575,79.21,78,40,8.05,MU,1675973926
262,18.4167,-64.6167,80.69,83,40,14.97,VG,1675974202
263,48.3833,-4.6167,48.38,90,75,4.61,FR,1675974467
264,42.0304,-8.1588,43.68,54,3,4.61,PT,1675974468
265,27.9333,84.4167,46.04,70,6,2.42,NP,1675974468
266,44.9,-89.7668,39.69,65,100,10.36,US,1675973910
267,-5.3686,-49.1178,91.58,52,40,4.61,BR,1675974174
268,40.6576,-73.5832,52.52,79,100,13.8,US,1675974469
269,50.0,88.6667,-0.96,98,100,1.7,RU,1675974469
270,21.5028,-158.0236,74.62,65,75,11.5,US,1675974470
271,57.0531,-135.33,44.49,57,100,18.41,US,1675973866
272,41.6892,122.1128,26.64,93,93,8.88,CN,1675974470
273,55.2353,84.3858,-15.57,100,100,1.86,RU,1675974470
274,-1.9175,-55.5181,85.93,63,45,5.55,BR,1675974471
275,-9.8607,124.284,65.86,90,100,4.29,ID,1675974471
276,-35.5667,138.6167,64.69,52,0,5.73,AU,1675974532
277,69.3833,178.4167,-26.18,99,100,6.15,RU,1675974532
278,-33.5189,-53.3681,82.47,51,2,12.17,BR,1675974532
279,69.4865,88.3972,-9.8,97,98,7.78,RU,1675974099
280,-11.0964,-77.6139,77.27,74,15,11.3,PE,1675974533
281,3.0372,29.5355,70.38,34,4,1.19,CD,1675974533
282,-25.2406,130.9889,79.23,21,5,5.82,AU,1675974169
283,50.6789,156.125,21.9,69,90,17.31,RU,1675973991
284,18.9048,-3.5265,78.93,12,1,13.0,ML,1675974534
285,-8.7676,160.7034,77.2,88,99,5.46,SB,1675974534
